학교,학과,학년-학기,학기,이수구분,학수번호,교과목명,영문교과목명,학점(시간)
연세대,행정학과,,,,,"혁신,창업과 정책",,
연세대,행정학과,,,,,정부와 비영리가구,,
연세대,행정학과,,,,,정책관리론,,
연세대,행정학과,,,,,세계거버넌스와 국제행정,,
연세대,행정학과,,,,,제도와 조직,,
연세대,행정학과,,,,,국제통상정책의 이론과 실제,,
연세대,행정학과,,,,,비교발전행정론,,
연세대,행정학과,,,,,행정학방법론,,
연세대,행정학과,,,,,문화정책론,,
연세대,행정학과,,,,,환경정책과 지속가능성,,
이화여대,행정학과,,,,,행정학의이해,,
이화여대,행정학과,,,,,정부와공공정책,,
이화여대,행정학과,,,,,조직행동과리더십,,
이화여대,행정학과,,,,,정책형성및집행,,
이화여대,행정학과,,,,,인사행정론,,
이화여대,행정학과,,,,,여성정책론,,
이화여대,행정학과,,,,,공법기초이론,,
이화여대,행정학과,,,,,재무행정론,,
이화여대,행정학과,,,,,행정조사방법론,,
이화여대,행정학과,,,,,복지행정론,,
이화여대,행정학과,,,,,지방자치론,,
이화여대,행정학과,,,,,국제행정론,,
이화여대,행정학과,,,,,규제행정론,,
이화여대,행정학과,,,,,정부회계학,,
이화여대,행정학과,,,,,도시문제와정책,,
이화여대,행정학과,,,,,거버넌스이론,,
이화여대,행정학과,,,,,행정계량분석,,
이화여대,행정학과,,,,,문화정책론,,
이화여대,행정학과,,,,,조직구조와설계,,
이화여대,행정학과,,,,,협상의이론과기법,,
이화여대,행정학과,,,,,시장과정부기획,,
이화여대,행정학과,,,,,전자정부와행정정보,,
이화여대,행정학과,,,,,행정과정치,,
이화여대,행정학과,,,,,정책분석과평가,,
이화여대,행정학과,,,,,행정학현장실습,,
이화여대,행정학과,,,,,행정학특강,,
이화여대,행정학과,,,,,보건정책론,,
이화여대,행정학과,,,,,공공노사관계론,,
이화여대,행정학과,,,,,행정철학과공직윤리,,
이화여대,행정학과,,,,,국제개발행정론,,
이화여대,행정학과,,,,,공공기관관리론,,
이화여대,행정학과,,,,,공공재정론,,
이화여대,행정학과,,,,,환경정책론,,
이화여대,행정학과,,,,,도시및지역계획론,,
이화여대,행정학과,,,,,정부간관계론,,
한성대,공공행정,1,1,,,비즈니스 데이터 사이언스,,
한성대,공공행정,1,2,,,통계로 읽어보는 빅데이터,,
한성대,공공행정,1,1,,,AI시대의 공공행정,,
한성대,공공행정,1,2,,,AI시대의 공공행정,,
한성대,공공행정,2,1,,,경제학원론,,
한성대,공공행정,2,1,,,AI와 행정통계,,
한성대,공공행정,2,1,,,정책관리와 AI활용,,
한성대,공공행정,2,1,,,재정학,,
한성대,공공행정,2,1,,,공공조직론,,
한성대,공공행정,2,2,,,AI시대의 행정철학,,
한성대,공공행정,2,2,,,공공관리자를 위한 행정법I,,
한성대,공공행정,2,2,,,디지털사회의 공공인재,,
한성대,공공행정,2,2,,,AI와 공공재정관리,,
한성대,공공행정,3,1,,,지방행정론,,
한성대,공공행정,3,1,,,복지정책론,,
한성대,공공행정,3,1,,,사회과학 프리인턴십,,
한성대,공공행정,3,1,,,AI시대의 인간개발,,
한성대,공공행정,3,1,,,행정조사방법론,,
한성대,공공행정,3,2,,,환경정책론,,
한성대,공공행정,3,2,,,공공관리자를 위한 행정법II,,
한성대,공공행정,3,2,,,문제기반 행정학연습,,
한성대,공공행정,4,1,,,경찰행정론,,
한성대,공공행정,4,1,,,AI와 디지털행정,,
한성대,공공행정,4,1,,,글로벌 거버넌스,,
한성대,공공행정,4,2,,,정부개혁론,,
한성대,공공행정,4,2,,,행정 및 정책사례연구,,
한성대,공공행정,4,2,,,AI기반 공공행정프로젝트 캡스톤디자인,,
한양대,행정학과,1,1학기,,,과학기술의철학적이해,,
한양대,행정학과,1,1학기,,,논리적사고,,
한양대,행정학과,1,1학기,,,문화기술인간,,
한양대,행정학과,1,1학기,,,법과사회,,
한양대,행정학과,1,1학기,,,사랑의실천1(한양나눔),,
한양대,행정학과,1,1학기,,,커리어개발Ⅰ:취.창업진로로드맵,,
한양대,행정학과,1,1학기,,,행정학개론,,
한양대,행정학과,1,2학기,,,Ai시대쓰기의힘,,
한양대,행정학과,1,2학기,,,경제원론,,
한양대,행정학과,1,2학기,,,말과글,,
한양대,행정학과,1,2학기,,,비판적사고,,
한양대,행정학과,1,2학기,,,정치학원론,,
한양대,행정학과,1,2학기,,,창의적컴퓨팅,,
한양대,행정학과,1,2학기,,,헌법과기본권,,
한양대,행정학과,2,1학기,,,Ai행정과데이터분석,,
한양대,행정학과,2,1학기,,,경제분석,,
한양대,행정학과,2,1학기,,,스토리텔링의설계와전략,,
한양대,행정학과,2,1학기,,,인공지능과기계학습,,
한양대,행정학과,2,1학기,,,인사행정론,,
한양대,행정학과,2,1학기,,,조사방법론,,
한양대,행정학과,2,1학기,,,조직론,,
한양대,행정학과,2,1학기,,,행정학의이론,,
한양대,행정학과,2,2학기,,,Technology And Ai: Utopia Or Dystopia?,,
한양대,행정학과,2,2학기,,,사랑의실천2(스마트커뮤니케이션),,
한양대,행정학과,2,2학기,,,재무행정론,,
한양대,행정학과,2,2학기,,,전문학술영어,,
한양대,행정학과,2,2학기,,,정책학개론,,
한양대,행정학과,2,2학기,,,지방자치론,,
한양대,행정학과,2,2학기,,,창의적프로그래밍,,
한양대,행정학과,2,2학기,,,행정계량분석,,
한양대,행정학과,2,2학기,,,행정학의핵심주제,,
한양대,행정학과,3,1학기,,,감성정부론,,
한양대,행정학과,3,1학기,,,공직윤리론,,
한양대,행정학과,3,1학기,,,문화행정론,,
한양대,행정학과,3,1학기,,,서베이데이터수집론,,
한양대,행정학과,3,1학기,,,정책분석평가론,,
한양대,행정학과,3,1학기,,,조직행태론,,
한양대,행정학과,3,1학기,,,행정연구캡스톤디자인,,
한양대,행정학과,3,2학기,,,공공가치론,,
한양대,행정학과,3,2학기,,,규제정책론,,
한양대,행정학과,3,2학기,,,복지행정론,,
한양대,행정학과,3,2학기,,,사랑의실천3(기업가정신),,
한양대,행정학과,3,2학기,,,성과관리론,,
한양대,행정학과,3,2학기,,,정책실험론,,
한양대,행정학과,3,2학기,,,커리어개발Ⅱ:취.창업진로포트폴리오,,
한양대,행정학과,4,1학기,,,거버넌스이론,,
한양대,행정학과,4,1학기,,,공기업경영론,,
한양대,행정학과,4,1학기,,,사랑의실천4(미래실용인재),,
한양대,행정학과,4,1학기,,,현대정책학이론,,
한양대,행정학과,4,2학기,,,정부혁신론,,
한양대,행정학과,4,2학기,,,창의행정캡스톤디자인,,
